,date,open,high,low,close,volume,hold,settle
0,2012-05-10,6190.0,6196.0,6082.0,6142.0,259996,33726,6126.0
1,2012-05-11,6110.0,6115.0,6000.0,6002.0,206804,55020,6056.0
2,2012-05-14,6040.0,6045.0,5960.0,5977.0,207668,57028,5999.0
3,2012-05-15,5895.0,5910.0,5711.0,5843.0,445150,82238,5813.0
4,2012-05-16,5750.0,5786.0,5643.0,5647.0,599186,108376,5704.0
5,2012-05-17,5705.0,5787.0,5691.0,5763.0,558246,89768,5748.0
6,2012-05-18,5808.0,5881.0,5768.0,5863.0,695576,92162,5827.0
7,2012-05-21,5957.0,5964.0,5903.0,5941.0,405766,97686,5932.0
8,2012-05-22,5920.0,5930.0,5882.0,5890.0,371088,90716,5903.0
9,2012-05-23,5800.0,5818.0,5759.0,5791.0,300170,90202,5791.0
10,2012-05-24,5785.0,5838.0,5766.0,5832.0,301270,85938,5804.0
11,2012-05-25,5858.0,5912.0,5804.0,5904.0,420278,92544,5849.0
12,2012-05-28,5940.0,5992.0,5916.0,5989.0,381418,94920,5955.0
13,2012-05-29,5933.0,5982.0,5922.0,5962.0,349920,93104,5950.0
14,2012-05-30,5817.0,5855.0,5798.0,5801.0,349610,94548,5826.0
15,2012-05-31,5836.0,5878.0,5826.0,5851.0,365958,85856,5853.0
16,2012-06-01,5800.0,5840.0,5771.0,5832.0,296984,86528,5811.0
17,2012-06-04,5923.0,5998.0,5901.0,5947.0,393532,87272,0.0
18,2012-06-05,5954.0,5985.0,5921.0,5931.0,323394,87988,5952.0
19,2012-06-06,6001.0,6092.0,5991.0,6088.0,343846,89946,6050.0
20,2012-06-07,6145.0,6154.0,6110.0,6133.0,272726,91644,6125.0
21,2012-06-08,6005.0,6023.0,5905.0,5935.0,316480,79718,5959.0
22,2012-06-11,6054.0,6099.0,6031.0,6063.0,207094,77300,6068.0
23,2012-06-12,5992.0,6038.0,5978.0,5988.0,243702,87952,6005.0
24,2012-06-13,6050.0,6083.0,6040.0,6081.0,184636,80188,6062.0
25,2012-06-14,6068.0,6128.0,6061.0,6080.0,189246,82052,6086.0
26,2012-06-15,6050.0,6085.0,6032.0,6070.0,208546,80836,6062.0
27,2012-06-18,6087.0,6095.0,6003.0,6010.0,309918,99022,6026.0
28,2012-06-19,6058.0,6080.0,6045.0,6063.0,168258,76972,6063.0
29,2012-06-20,5996.0,6029.0,5990.0,6010.0,175782,83302,6007.0
30,2012-06-21,5900.0,5925.0,5893.0,5911.0,141540,75606,5909.0
31,2012-06-25,5700.0,5742.0,5691.0,5716.0,162514,89926,5724.0
32,2012-06-26,5830.0,5830.0,5783.0,5791.0,139496,83698,5809.0
33,2012-06-27,5767.0,5771.0,5725.0,5745.0,134318,90242,5748.0
34,2012-06-28,5778.0,5782.0,5733.0,5737.0,120318,88586,5747.0
35,2012-06-29,5651.0,5764.0,5632.0,5751.0,234654,83390,5704.0
