,date,open,high,low,close,volume,hold,settle
0,2008-01-09,230.95,230.99,221.88,223.3,103364,16342,0.0
1,2008-01-10,222.5,222.85,213.7,215.12,87984,23494,0.0
2,2008-01-11,218.0,219.23,215.5,218.1,85418,25424,0.0
3,2008-01-14,218.85,220.25,217.6,220.1,60776,27714,0.0
4,2008-01-15,220.7,224.6,220.3,223.8,88242,29866,0.0
5,2008-01-16,220.6,220.6,215.4,215.89,94362,29582,0.0
6,2008-01-17,214.03,216.8,213.5,216.47,61962,30916,0.0
7,2008-01-18,214.0,214.9,212.42,214.7,58006,29538,0.0
8,2008-01-21,214.7,216.33,213.8,214.2,43510,30294,0.0
9,2008-01-22,208.0,209.5,204.72,206.41,78532,29326,0.0
10,2008-01-23,212.0,214.25,210.9,212.51,60988,26596,0.0
11,2008-01-24,213.02,217.08,212.61,216.7,57962,30156,0.0
12,2008-01-25,220.1,221.4,218.32,219.8,72624,32428,0.0
13,2008-01-28,219.6,221.97,219.2,220.33,62712,33182,0.0
14,2008-01-29,223.6,224.3,222.56,222.56,47652,34168,0.0
15,2008-01-31,220.0,221.04,218.22,219.35,43002,33082,0.0
16,2008-02-01,220.61,221.0,218.56,218.75,28726,32934,0.0
17,2008-02-04,216.0,216.94,215.0,215.6,31388,32288,0.0
18,2008-02-05,215.5,215.58,214.7,215.26,17456,32802,0.0
19,2008-02-13,216.01,216.16,213.5,213.69,22060,34146,0.0
20,2008-02-14,214.6,216.18,214.43,216.1,29802,35040,0.0
21,2008-02-15,216.0,216.51,215.33,216.25,22126,35278,0.0
22,2008-02-18,215.2,215.7,214.2,215.48,22840,36068,0.0
23,2008-02-19,215.51,218.38,215.5,218.38,42656,44314,0.0
24,2008-02-20,222.0,222.25,219.51,219.81,50118,43710,0.0
25,2008-02-21,221.81,224.1,221.81,223.58,50356,44110,0.0
26,2008-02-22,221.5,224.45,221.5,222.45,40978,42460,0.0
27,2008-02-25,223.6,225.8,223.0,225.78,39612,46534,0.0
