datetime,open,high,low,close,volume,hold
2025-04-21 15:13:00,108.79,108.79,108.77,108.775,234,185311
2025-04-21 15:14:00,108.775,108.785,108.77,108.775,254,185286
2025-04-21 15:15:00,108.775,108.795,108.77,108.78,608,185013
2025-04-22 09:31:00,108.855,108.9,108.855,108.89,1805,185070
2025-04-22 09:32:00,108.89,108.895,108.875,108.875,617,185221
2025-04-22 09:33:00,108.88,108.89,108.88,108.89,512,185122
2025-04-22 09:34:00,108.885,108.895,108.88,108.89,412,185216
2025-04-22 09:35:00,108.89,108.895,108.88,108.885,398,185353
2025-04-22 09:36:00,108.88,108.89,108.86,108.865,499,185233
2025-04-22 09:37:00,108.865,108.875,108.86,108.87,203,185166
2025-04-22 09:38:00,108.865,108.865,108.85,108.855,253,185223
2025-04-22 09:39:00,108.855,108.87,108.85,108.865,254,185268
2025-04-22 09:40:00,108.865,108.875,108.865,108.875,128,185279
2025-04-22 09:41:00,108.87,108.875,108.85,108.86,527,185461
2025-04-22 09:42:00,108.86,108.87,108.86,108.865,170,185500
2025-04-22 09:43:00,108.865,108.87,108.86,108.865,255,185613
2025-04-22 09:44:00,108.865,108.865,108.85,108.85,196,185615
2025-04-22 09:45:00,108.85,108.865,108.85,108.865,90,185631
2025-04-22 09:46:00,108.865,108.875,108.86,108.87,156,185623
2025-04-22 09:47:00,108.87,108.875,108.865,108.87,183,185667
2025-04-22 09:48:00,108.87,108.87,108.865,108.87,94,185651
2025-04-22 09:49:00,108.87,108.875,108.865,108.875,103,185652
2025-04-22 09:50:00,108.875,108.88,108.87,108.875,99,185669
2025-04-22 09:51:00,108.875,108.88,108.87,108.87,180,185659
2025-04-22 09:52:00,108.87,108.89,108.87,108.88,268,185726
2025-04-22 09:53:00,108.88,108.885,108.875,108.885,119,185775
2025-04-22 09:54:00,108.885,108.89,108.88,108.88,165,185750
2025-04-22 09:55:00,108.88,108.89,108.88,108.88,241,185721
2025-04-22 09:56:00,108.885,108.895,108.885,108.89,190,185745
2025-04-22 09:57:00,108.895,108.9,108.89,108.9,187,185728
2025-04-22 09:58:00,108.9,108.905,108.895,108.9,392,185857
2025-04-22 09:59:00,108.9,108.91,108.9,108.91,359,185851
2025-04-22 10:00:00,108.91,108.915,108.905,108.905,349,185949
2025-04-22 10:01:00,108.91,108.915,108.905,108.91,462,186035
2025-04-22 10:02:00,108.91,108.925,108.91,108.92,456,186238
2025-04-22 10:03:00,108.925,108.94,108.925,108.935,360,186284
2025-04-22 10:04:00,108.935,108.94,108.93,108.935,387,186463
2025-04-22 10:05:00,108.935,108.94,108.93,108.93,219,186402
2025-04-22 10:06:00,108.935,108.945,108.93,108.94,190,186455
2025-04-22 10:07:00,108.945,108.95,108.935,108.94,296,186522
2025-04-22 10:08:00,108.94,108.94,108.93,108.935,99,186558
2025-04-22 10:09:00,108.935,108.945,108.935,108.935,262,186595
2025-04-22 10:10:00,108.935,108.945,108.93,108.935,295,186546
2025-04-22 10:11:00,108.935,108.94,108.93,108.935,119,186557
2025-04-22 10:12:00,108.935,108.935,108.92,108.925,221,186580
2025-04-22 10:13:00,108.925,108.925,108.915,108.915,282,186448
2025-04-22 10:14:00,108.92,108.925,108.915,108.925,244,186393
2025-04-22 10:15:00,108.93,108.93,108.92,108.925,148,186407
2025-04-22 10:16:00,108.925,108.935,108.925,108.93,169,186442
2025-04-22 10:17:00,108.93,108.935,108.92,108.92,214,186467
2025-04-22 10:18:00,108.925,108.93,108.92,108.92,104,186487
2025-04-22 10:19:00,108.925,108.925,108.92,108.925,62,186486
2025-04-22 10:20:00,108.925,108.93,108.925,108.925,41,186488
2025-04-22 10:21:00,108.925,108.93,108.92,108.93,126,186526
2025-04-22 10:22:00,108.93,108.94,108.93,108.93,242,186564
2025-04-22 10:23:00,108.93,108.935,108.93,108.93,43,186560
2025-04-22 10:24:00,108.93,108.93,108.925,108.925,57,186569
2025-04-22 10:25:00,108.925,108.925,108.92,108.925,121,186639
2025-04-22 10:26:00,108.925,108.93,108.925,108.925,201,186668
2025-04-22 10:27:00,108.925,108.93,108.925,108.93,51,186671
2025-04-22 10:28:00,108.93,108.93,108.925,108.925,33,186653
2025-04-22 10:29:00,108.925,108.93,108.92,108.92,157,186652
2025-04-22 10:30:00,108.92,108.94,108.92,108.94,224,186736
2025-04-22 10:31:00,108.94,108.945,108.935,108.94,124,186753
2025-04-22 10:32:00,108.94,108.95,108.935,108.945,196,186777
2025-04-22 10:33:00,108.945,108.95,108.945,108.945,308,186860
2025-04-22 10:34:00,108.945,108.95,108.935,108.935,349,186994
2025-04-22 10:35:00,108.935,108.94,108.935,108.94,26,187011
2025-04-22 10:36:00,108.94,108.94,108.93,108.935,128,187029
2025-04-22 10:37:00,108.935,108.94,108.935,108.935,123,187023
2025-04-22 10:38:00,108.935,108.94,108.93,108.93,163,187011
2025-04-22 10:39:00,108.93,108.94,108.93,108.935,46,186999
2025-04-22 10:40:00,108.935,108.95,108.935,108.94,325,187069
2025-04-22 10:41:00,108.935,108.945,108.935,108.945,102,187043
2025-04-22 10:42:00,108.945,108.95,108.94,108.95,58,187036
2025-04-22 10:43:00,108.95,108.95,108.94,108.945,95,187072
2025-04-22 10:44:00,108.945,108.95,108.945,108.945,126,187102
2025-04-22 10:45:00,108.945,108.95,108.94,108.95,128,187152
2025-04-22 10:46:00,108.95,108.96,108.945,108.96,365,187154
2025-04-22 10:47:00,108.96,108.965,108.955,108.96,298,187217
2025-04-22 10:48:00,108.96,108.965,108.955,108.96,86,187257
2025-04-22 10:49:00,108.96,108.96,108.95,108.95,81,187264
2025-04-22 10:50:00,108.955,108.955,108.945,108.95,186,187325
2025-04-22 10:51:00,108.95,108.955,108.945,108.95,93,187331
2025-04-22 10:52:00,108.95,108.955,108.95,108.955,40,187338
2025-04-22 10:53:00,108.955,108.955,108.935,108.935,293,187292
