datetime,open,high,low,close,volume,hold
2025-04-21 15:13:00,119.29,119.3,119.28,119.29,241,105518
2025-04-21 15:14:00,119.3,119.31,119.28,119.3,374,105383
2025-04-21 15:15:00,119.3,119.34,119.29,119.33,436,105155
2025-04-22 09:31:00,119.41,119.56,119.41,119.49,1706,105119
2025-04-22 09:32:00,119.49,119.51,119.46,119.48,710,105147
2025-04-22 09:33:00,119.48,119.52,119.48,119.5,689,105148
2025-04-22 09:34:00,119.5,119.52,119.47,119.48,571,105175
2025-04-22 09:35:00,119.47,119.48,119.43,119.45,634,105182
2025-04-22 09:36:00,119.47,119.49,119.43,119.44,605,105186
2025-04-22 09:37:00,119.43,119.46,119.43,119.44,450,105241
2025-04-22 09:38:00,119.44,119.45,119.42,119.43,408,105243
2025-04-22 09:39:00,119.42,119.45,119.42,119.44,247,105230
2025-04-22 09:40:00,119.43,119.44,119.42,119.43,196,105203
2025-04-22 09:41:00,119.44,119.44,119.38,119.41,632,105251
2025-04-22 09:42:00,119.41,119.43,119.39,119.4,350,105255
2025-04-22 09:43:00,119.41,119.43,119.4,119.43,238,105222
2025-04-22 09:44:00,119.42,119.43,119.38,119.38,344,105276
2025-04-22 09:45:00,119.38,119.4,119.36,119.39,443,105272
2025-04-22 09:46:00,119.39,119.42,119.39,119.4,292,105287
2025-04-22 09:47:00,119.4,119.43,119.4,119.42,177,105302
2025-04-22 09:48:00,119.43,119.43,119.39,119.41,231,105275
2025-04-22 09:49:00,119.41,119.42,119.4,119.41,222,105270
2025-04-22 09:50:00,119.41,119.43,119.41,119.42,96,105279
2025-04-22 09:51:00,119.42,119.43,119.4,119.4,162,105299
2025-04-22 09:52:00,119.41,119.45,119.41,119.43,290,105290
2025-04-22 09:53:00,119.43,119.47,119.43,119.46,358,105254
2025-04-22 09:54:00,119.46,119.48,119.46,119.48,426,105216
2025-04-22 09:55:00,119.47,119.49,119.47,119.49,345,105235
2025-04-22 09:56:00,119.49,119.52,119.49,119.5,519,105337
2025-04-22 09:57:00,119.51,119.53,119.51,119.52,435,105445
2025-04-22 09:58:00,119.52,119.55,119.51,119.51,378,105476
2025-04-22 09:59:00,119.51,119.54,119.51,119.51,482,105399
2025-04-22 10:00:00,119.51,119.52,119.49,119.52,684,105347
2025-04-22 10:01:00,119.52,119.52,119.49,119.5,405,105302
2025-04-22 10:02:00,119.5,119.55,119.5,119.54,531,105428
2025-04-22 10:03:00,119.54,119.6,119.54,119.59,1179,105308
2025-04-22 10:04:00,119.59,119.59,119.56,119.57,448,105283
2025-04-22 10:05:00,119.58,119.59,119.56,119.57,368,105256
2025-04-22 10:06:00,119.57,119.62,119.57,119.62,696,105296
2025-04-22 10:07:00,119.62,119.65,119.62,119.64,694,105299
2025-04-22 10:08:00,119.65,119.65,119.63,119.63,395,105274
2025-04-22 10:09:00,119.63,119.65,119.63,119.64,386,105237
2025-04-22 10:10:00,119.64,119.7,119.63,119.64,769,105388
2025-04-22 10:11:00,119.65,119.67,119.63,119.65,477,105292
2025-04-22 10:12:00,119.65,119.65,119.62,119.64,347,105306
2025-04-22 10:13:00,119.64,119.65,119.62,119.63,321,105346
2025-04-22 10:14:00,119.63,119.64,119.63,119.64,192,105353
2025-04-22 10:15:00,119.64,119.66,119.64,119.66,265,105437
2025-04-22 10:16:00,119.66,119.71,119.66,119.69,1041,105616
2025-04-22 10:17:00,119.69,119.69,119.64,119.64,573,105719
2025-04-22 10:18:00,119.64,119.65,119.63,119.64,302,105700
2025-04-22 10:19:00,119.64,119.65,119.63,119.63,309,105713
2025-04-22 10:20:00,119.63,119.65,119.63,119.63,228,105743
2025-04-22 10:21:00,119.63,119.65,119.62,119.64,252,105738
2025-04-22 10:22:00,119.64,119.67,119.64,119.67,237,105745
2025-04-22 10:23:00,119.67,119.69,119.66,119.68,278,105822
2025-04-22 10:24:00,119.68,119.68,119.65,119.65,275,105854
2025-04-22 10:25:00,119.65,119.66,119.64,119.65,230,105852
2025-04-22 10:26:00,119.65,119.67,119.64,119.65,308,105872
2025-04-22 10:27:00,119.65,119.67,119.64,119.65,217,105915
2025-04-22 10:28:00,119.65,119.67,119.65,119.66,82,105906
2025-04-22 10:29:00,119.67,119.68,119.66,119.66,160,105950
2025-04-22 10:30:00,119.66,119.71,119.66,119.71,685,106166
