datetime,open,high,low,close,volume,hold
2025-04-21 15:07:00,102.384,102.384,102.382,102.384,108,103207
2025-04-21 15:08:00,102.384,102.384,102.382,102.384,161,103169
2025-04-21 15:09:00,102.384,102.386,102.384,102.386,57,103163
2025-04-21 15:10:00,102.386,102.388,102.384,102.388,50,103127
2025-04-21 15:11:00,102.388,102.39,102.388,102.39,38,103117
2025-04-21 15:12:00,102.39,102.39,102.386,102.386,35,103122
2025-04-21 15:13:00,102.386,102.388,102.384,102.388,68,103099
2025-04-21 15:14:00,102.388,102.392,102.386,102.39,131,103058
2025-04-21 15:15:00,102.39,102.39,102.38,102.38,150,102991
2025-04-22 09:31:00,102.396,102.402,102.392,102.4,529,102997
2025-04-22 09:32:00,102.4,102.4,102.392,102.394,136,102944
2025-04-22 09:33:00,102.394,102.404,102.394,102.404,98,102936
2025-04-22 09:34:00,102.404,102.41,102.404,102.406,208,102899
2025-04-22 09:35:00,102.406,102.408,102.4,102.408,135,102919
2025-04-22 09:36:00,102.408,102.408,102.39,102.396,395,102964
2025-04-22 09:37:00,102.396,102.398,102.394,102.396,162,102983
2025-04-22 09:38:00,102.396,102.396,102.392,102.392,192,103000
2025-04-22 09:39:00,102.392,102.392,102.388,102.39,129,103012
2025-04-22 09:40:00,102.39,102.39,102.384,102.386,182,103023
2025-04-22 09:41:00,102.386,102.388,102.384,102.384,170,103036
2025-04-22 09:42:00,102.384,102.386,102.382,102.384,282,103043
2025-04-22 09:43:00,102.384,102.384,102.382,102.382,107,103043
2025-04-22 09:44:00,102.382,102.384,102.382,102.382,46,103030
2025-04-22 09:45:00,102.382,102.386,102.382,102.384,145,102959
2025-04-22 09:46:00,102.382,102.386,102.382,102.386,158,102947
2025-04-22 09:47:00,102.386,102.388,102.386,102.388,42,102935
2025-04-22 09:48:00,102.388,102.388,102.386,102.386,77,102917
2025-04-22 09:49:00,102.386,102.39,102.386,102.39,48,102892
2025-04-22 09:50:00,102.39,102.39,102.388,102.388,199,102878
2025-04-22 09:51:00,102.388,102.388,102.386,102.388,115,102835
2025-04-22 09:52:00,102.388,102.392,102.388,102.39,216,102737
2025-04-22 09:53:00,102.39,102.392,102.39,102.39,150,102715
2025-04-22 09:54:00,102.39,102.394,102.39,102.394,186,102660
2025-04-22 09:55:00,102.394,102.398,102.394,102.396,38,102643
2025-04-22 09:56:00,102.398,102.398,102.396,102.398,21,102636
